"Farm","Sex","Length","Ecervi"
"AL","M",2.18244552058113,0
"AL","F",54.1824455205811,0
"AL","F",46.1824455205811,0
"AL","F",44.1824455205811,14.37
"AL","F",42.1824455205811,0
"AL","F",38.1824455205811,0
"AL","F",37.1824455205811,0.9
"AL","F",35.1824455205811,0.8
"AL","F",34.1824455205811,1.21
"AL","F",34.1824455205811,0
"AL","F",30.1824455205811,2.38
"AL","F",29.1824455205811,0
"AL","F",28.1824455205811,0
"AL","F",18.1824455205811,0
"AL","F",16.1824455205811,53.6
"AU","F",33.1824455205811,36.0654
"AU","F",28.1824455205811,3.9888
"AU","F",26.1824455205811,24.93
"AU","F",23.1824455205811,286.695
"AU","F",23.1824455205811,0.6648
"AU","F",22.1824455205811,104.1
"AU","F",22.1824455205811,22
"AU","F",22.1824455205811,5.4846
"AU","F",18.1824455205811,49.86
"AU","F",18.1824455205811,0
"AU","F",16.1824455205811,143.14
"AU","F",14.1824455205811,24.15
"AU","F",13.1824455205811,50.9
"AU","F",13.1824455205811,20
"AU","F",12.1824455205811,77.6154
"AU","F",12.1824455205811,9.7
"AU","F",11.1824455205811,27.7554
"AU","F",11.1824455205811,2.5
"AU","F",10.1824455205811,5.4846
"AU","F",8.18244552058113,27.62
"AU","F",8.18244552058113,24.93
"AU","F",8.18244552058113,0
"AU","F",7.18244552058113,177.3354
"AU","F",7.18244552058113,131.4
"AU","F",7.18244552058113,3.6564
"AU","F",5.18244552058113,5.4846
"AU","F",-0.817554479418874,237.8
"AU","F",-1.81755447941887,20.7
"AU","F",-3.81755447941887,3.6564
"AU","F",-6.81755447941887,0
"AU","F",-8.81755447941887,24.55
"AU","F",-8.81755447941887,0
"BA","M",6.68244552058113,7.91
"BA","M",6.18244552058113,11.634
"BA","M",6.18244552058113,2.47
"BA","M",3.38244552058111,0
"BA","M",2.48244552058114,1.85
"BA","M",2.18244552058113,4.21
"BA","M",-0.817554479418874,6
"BA","M",-0.817554479418874,2.8254
"BA","M",-2.81755447941887,15.58
"BA","M",-5.81755447941887,116.34
"BA","M",-5.81755447941887,0
"BA","M",-7.81755447941887,14.9
"BA","M",-8.31755447941887,19
"BA","M",-11.8175544794189,0
"BA","M",-13.8175544794189,38.226
"BA","M",-13.8175544794189,0
"BA","M",-16.8175544794189,28.5864
"BA","M",-16.8175544794189,0
"BA","M",-18.8175544794189,7.9776
"BA","M",-21.8175544794189,1.21
"BA","M",-22.8175544794189,66.48
"BA","M",-23.8175544794189,1.99
"BA","M",-23.8175544794189,0.3324
"BA","M",-24.8175544794189,477.36
"BA","M",-24.8175544794189,0
"BA","M",-32.8175544794189,58
"BA","M",-36.8175544794189,0
"BA","M",-39.8175544794189,0
"BA","F",40.1824455205811,84.9
"BA","F",25.1824455205811,252.8
"BA","F",25.1824455205811,205.8
"BA","F",25.1824455205811,51.9
"BA","F",24.1824455205811,89.5
"BA","F",23.1824455205811,199.6
"BA","F",21.1824455205811,6.2
"BA","F",20.1824455205811,285.3
"BA","F",19.1824455205811,112.24
"BA","F",18.1824455205811,147.8
"BA","F",16.1824455205811,168.7
"BA","F",16.1824455205811,114.4
"BA","F",15.1824455205811,140
"BA","F",14.1824455205811,266.9
"BA","F",13.1824455205811,475.7
"BA","F",11.1824455205811,126.1
"BA","F",8.18244552058113,1357.8
"BA","F",8.18244552058113,5.4846
"BA","F",7.18244552058113,29.2
"BA","F",-2.81755447941887,40.1
"BA","F",-2.81755447941887,15.9
"BA","F",-29.8175544794189,0
"BE","M",-39.8175544794189,14.08
"BE","F",18.1824455205811,41.51
"BE","F",13.1824455205811,519.6
"BE","F",8.68244552058113,1.15
"BE","F",4.78244552058112,39.75
"BE","F",3.18244552058113,17.99
"BE","F",0.182445520581126,7.41
"BE","F",-1.81755447941887,56.9
"BE","F",-3.81755447941887,23.7
"BE","F",-3.81755447941887,23.54
"BE","F",-5.81755447941887,19.62
"BE","F",-7.81755447941887,117.14
"BE","F",-16.8175544794189,30.1
"CB","M",12.9824455205811,109.86
"CB","M",12.1824455205811,47.98
"CB","M",9.18244552058113,82.56
"CB","M",7.18244552058113,12.07
"CB","M",6.18244552058113,145
"CB","M",6.18244552058113,34.73
"CB","M",5.18244552058113,88.3
"CB","M",3.18244552058113,65.57
"CB","M",2.18244552058113,70.009
"CB","M",2.18244552058113,56.85
"CB","M",2.18244552058113,20.85
"CB","M",1.18244552058113,26.06
"CB","M",0.182445520581126,427.3
"CB","M",0.182445520581126,68.26
